currentLevel	requiedExp	costDreamShards
1	54 	14
2	71 	18
3	108 	22
4	128 	27
5	164 	30
6	202 	34
7	244 	39
8	274 	44
9	315 	48
10	345 	50
11	376 	52
12	407 	53
13	419 	56
14	429 	59
15	440 	62
16	454 	66
17	469 	68
18	483 	71
19	497 	74
20	515 	78
21	537 	81
22	558 	85
23	579 	88
24	600 	92
25	622 	95
26	643 	100
27	665 	105
28	686 	111
29	708 	117
30	729 	122
31	748 	126
32	766 	130
33	785 	136
34	803 	143
35	821 	151
36	839 	160
37	857 	167
38	875 	174
39	893 	184
40	910 	192
41	928 	201
42	945 	211
43	963 	221
44	980 	227
45	997 	236
46	1015 	250
47	1032 	264
48	1049 	279
49	1066 	295
50	1362 	309
51	1562 	323
52	1747 	338
53	1946 	356
54	2195 	372
55	2279 	391
56	2404 	437
57	2533 	486
58	2666 	538
59	2806 	593
