currentLevel	requiedExp	costDreamShards
1	54	14
2	128	18
3	194	22
4	231	27
5	295	30
6	364	34
7	439	39
8	493	44
9	567	48
10	621	50
11	677	52
12	732	53
13	755	56
14	772	59
15	792	62
16	817	66
17	844	68
18	870	71
19	894	74
20	927	78
21	967	81
22	1004	85
23	1042	88
24	1080	92
25	1120	95
26	1157	100
27	1197	105
28	1235	111
29	1275	117
30	1312	122
31	1346	126
32	1379	130
33	1413	136
34	1445	143
35	1478	151
36	1510	160
37	1543	167
38	1575	174
39	1607	184
40	1638	192
41	1671	201
42	1701	211
43	1733	221
44	1764	227
45	1795	236
46	1827	250
47	1857	264
48	1889	279
49	1918	295
50	2451	309
51	2813	323
52	3145	338
53	3501	356
54	3952	372
55	4103	391
56	4327	437
57	4558	486
58	4800	538
59	5051	593
60	5157	651
61	5259	698
62	5358	750
63	5452	804
64	5539	866
